OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
6839,8_1602,20160622,8,1602,HOSPITAL LA PAZ-MATERNIDAD,,S,,,,,,U,28,079,07901,,11437,Calle,de,Pedro Rico,N,4,,,28029,08,103,085,T079916773,,,7,A,1,079-08-195,195,,solape,2,3,20150519,20150519,,441708,4481543,N,,HOSPITAL LA PAZ-MATERNIDAD,,1602
6840,8_4651,20160622,8,4651,MONFORTE DE LEMOS-POLIDEPORTIVO,,S,,,,,,U,28,079,07901,,08996,Avda,de,Monforte de Lemos,N,10,,,28029,08,099,085,T0791467,,,7,A,1,079-08-196,196,,559-1,2,3,20150519,20150519,,441286,4481414,N,,MONFORTE DE LEMOS-POLIDEPORTIVO,,4651
6841,8_1734,20160622,8,1734,MONFORTE DE LEMOS-PUENTECESURES,,S,,,,,,U,28,079,07901,,08996,Avda,de,Monforte de Lemos,N,14,,,28029,08,099,085,T0791467,,,7,A,1,079-08-196,196,,559-1,2,3,20150519,20150519,,441025,4481450,N,,MONFORTE DE LEMOS-PUENTECESURES,,1734
6842,8_1736,20160622,8,1736,MONFORTE DE LEMOS-PARQUE DE BOMBEROS,,S,,,,,,U,28,079,07901,,08996,Avda,de,Monforte de Lemos,N,24,,,28029,08,099,085,T0791481,,,7,A,1,079-08-196,196,,559-1,2,3,20150519,20150519,,440730,4481488,N,,MONFORTE DE LEMOS-PARQUE DE BOMBEROS,,1736
6843,8_93,20160622,8,93,MONFORTE DE LEMOS-LA VAGUADA,,S,,,,,,U,28,079,07901,,08996,Avda,de,Monforte de Lemos,N,107,,,28029,08,045,084,T0791489,,,7,A,1,079-08-182,182,,559-1,2,3,20150519,20150519,,440207,4481373,N,,MONFORTE DE LEMOS-LA VAGUADA,,93
6844,8_1330,20160622,8,1330,AV.ARCO DE LA VICTORIA-CARDENAL CISNEROS,,S,,,,,,U,28,079,07901,,41008,Avda,del,Arco de la Victoria,N,4100,,,28040,09,033,093,T0796032,,,6,A,1,079-09-220,220,,559-1,2,3,20150519,20150519,,438555,4477011,N,,AV.ARCO DE LA VICTORIA-CARDENAL CISNEROS,,1330
6845,8_15554,20160622,8,15554,CERCEDA-EL SOTO,,S,,,,,,C,28,023,02302,0230201,00319,Ctra,de,Navacerrada,N,7,,M-607,28412,01,002,,T023289,,,6,C1,3,023-001,1154,,508-4,2,3,20040518,20040518,,421323,4506021,T,,CERCEDA-EL SOTO,,
6846,8_19014,20160622,8,19014,ALMOROX-URB.EL ROMILLO,,S,,,,,,U,45,013,,,99999,,,N-403,N,SN,,,,,,,,,,5,E2,4,,,,580-1,2,3,20121001,20121001,,383288,4459193,N,,ALMOROX-URB.EL ROMILLO,,
6847,8_19015,20160622,8,19015,ALMOROX-URB.EL PINAR DE ALMOROX,,S,,,,,,U,45,013,,,99999,,,N-403,N,SN,,,,,,,,,,5,E2,4,,,,580-1,2,3,20121001,20121001,,383538,4457146,N,,ALMOROX-URB.EL PINAR DE ALMOROX,,
6848,8_19016,20160622,8,19016,ALMOROX-CRUCE SAN ISIDRO,,S,,,,,,C,45,013,,,99999,Ctra,,N-403,KM,SN,,N-403,,,,,,,,,E2,4,,,,580-3,2,3,20121001,20121001,,382235,4455345,N,,ALMOROX-CRUCE SAN ISIDRO,,
6849,8_19017,20160622,8,19017,ALMOROX-IGLESIA,,S,,,,,,T,45,013,,,99999,Ctra,,N-403,N,SN,,N-403,,,,,,,,,E2,4,,,,580-3,2,3,20121001,20121001,,381701,4454873,N,,ALMOROX-IGLESIA,,
