OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
2830,6,283719,121,121,1,1,2795,*,,2,TI,I,AV.PADRE PIQUER-CAMPAMENTO,28,079,MADRID,A,Avda del Padre Piquer N 3,19991221,19920515,,125.9123,-1,6,_,,,6__121_____1_IT_1_6_2795_*__TI_I_2,,,,6__121___,6__121_____1_IT_1,6_2795,6_2795_*,6_2795_
2831,6,283719,121,121,1,1,2796,*,,5,TI,I,ILLESCAS Nº 34,28,079,MADRID,A,Calle de Illescas SN SN,19991221,19920515,,232.94,30,6,_,,,6__121_____1_IT_1_6_2796_*__TI_I_5,,,,6__121___,6__121_____1_IT_1,6_2796,6_2796_*,6_2796_
2832,6,344336,025,25,2,1,2796,*,,6,TI,I,ILLESCAS Nº 34,28,079,MADRID,A,Calle de Illescas SN SN,20110311,20110309,,232.941,30,6,_,,,6__25_____2_IT_1_6_2796_*__TI_I_6,,,,6__25___,6__25_____2_IT_1,6_2796,6_2796_*,6_2796_
2833,6,283719,121,121,1,1,2798,*,,8,TI,I,VALMOJADO Nº 209,28,079,MADRID,A,Calle de Valmojado N 211,19991221,19920515,,336.7628,13.967,6,_,,,6__121_____1_IT_1_6_2798_*__TI_I_8,,,,6__121___,6__121_____1_IT_1,6_2798,6_2798_*,6_2798_
2834,6,342846,138,138,1,1,2798,*,,26,TI,I,VALMOJADO Nº 209,28,079,MADRID,A,Calle de Valmojado N 211,20100827,20100721,,336.7628,12.593,6,_,,,6__138_____1_IT_1_6_2798_*__TI_I_26,,,,6__138___,6__138_____1_IT_1,6_2798,6_2798_*,6_2798_
2835,6,283719,121,121,1,1,2799,*,,9,TI,I,VALMOJADO-MAQUEDA,28,079,MADRID,A,Pque   Alcalde Carlos Arias N 1,19991221,19920515,,279.745,30,6,90_1,,,6__121_____1_IT_1_6_2799_*__TI_I_9,,,,6__121___,6__121_____1_IT_1,6_2799,6_2799_*,6_2799_
2836,6,342846,138,138,1,1,2799,*,,27,TI,I,VALMOJADO-MAQUEDA,28,079,MADRID,A,Pque   Alcalde Carlos Arias N 1,20100827,20100721,,279.745,13.36,6,90_1,,,6__138_____1_IT_1_6_2799_*__TI_I_27,,,,6__138___,6__138_____1_IT_1,6_2799,6_2799_*,6_2799_
2837,6,283691,131,131,1,1,2800,*,,5,TI,I,AV.POBLADOS-INTERCAMBIADOR ALUCHE,28,079,MADRID,A,Avda de los Poblados N 62,19991221,19861001,,256.2588,-1,6,90_1,,,6__131_A____1_IT_1_6_2800_*__TI_I_5,,,,6__131_A__,6__131_A____1_IT_1,6_2800,6_2800_*,6_2800_
2838,6,283719,121,121,1,1,2800,*,,10,TI,I,AV.POBLADOS-INTERCAMBIADOR ALUCHE,28,079,MADRID,A,Avda de los Poblados N 62,19991221,19920515,,390.8979,-1,6,90_1,,,6__121_____1_IT_1_6_2800_*__TI_I_10,,,,6__121___,6__121_____1_IT_1,6_2800,6_2800_*,6_2800_
2839,6,283679,139,139,1,1,2800,*,,16,TI,I,AV.POBLADOS-INTERCAMBIADOR ALUCHE,28,079,MADRID,A,Avda de los Poblados N 62,19991221,19871201,,464.6599,-1,6,90_1,,,6__139_____1_IT_1_6_2800_*__TI_I_16,,,,6__139___,6__139_____1_IT_1,6_2800,6_2800_*,6_2800_
